だいがく,college; university
こうこう,high school
がくせい,student
だいがくせい,college student
りゅうがくせい,international student
せんせい,teacher; Professor...
〜ねんせい,...year student
いちねんせい,first-year student
せんこう,major
わたし,I
ともだち,friend
〜さん,Mr./Ms....
〜じん,...people
にほんじん,Japanese people
いま,now
ごぜん,A.M.
ごご,P.M.
〜じ,o'clock
いちじ,one o'clock
はん,half
にじはん,half past two
にほん,Japan
アメリカ,U.S.A.
〜ご,...language
にほんご,Japanese language
〜さい,...years old
でんわ,telephone
〜ばん,number...
ばんごう,number
なまえ,name
なん/なに,what
あのう,um...
はい,yes
そうです,That's right.
そうですか,I see.; Is that so?
くに,countries
ロシア,Russia
台湾,Taiwan
イギリス,Britain
オーストラリア,Australia
かんこく,Korea
カナダ,Canada
ちゅうごく,China
インド,India
エジプト,Egypt
フィリピン,Philippines
せんこう,majors
アジアけんきゅう,Asian studies
けいざい,economics
こうがく,engineering
こくさいかんけい,international relations
コンピューター,computer
せいじ,politics
せいぶつがく,biology
ビジネス,business
ぶんがく,literature
れきし,history
しごと,occupations
いしゃ,doctor
かいしゃいん,office worker
かんごし,nurse
こうこうせい,high school student
しゅふ,housewife
だいがくいんせい,graduate student
べんごし,lawyer
かぞく,family
おかあさん,mother
おとうさん,father
おねえさん,older sister
おにいさん,older brother
いもうと,younger sister
おとうと,younger brother
