これ,this one
それ,that one
あれ,that one (over there)
どれ,which one
この,this...
その,that...
あの,that...(over there)
どの,which...
ここ,here
そこ,there
あそこ,over there
どこ,where
だれ,who
おいしい,delicious
さかな,fish
とんかつ,pork cutlet
にく,meat
メニュー,menu
やさい,vegetable
かさ,umbrella
かばん,bag
くつ,shoes
さいふ,wallet
じーンズ,jeans
じてんしゃ,bicycle
しんぶん,newspaper
スマホ,smartphone; mobile
Tシャツ,T-shirt
とけい,watch; clock
ノート,notebook
ペン,pen
ぼうし,hat; cap
ほん,book
ぎんこう,bank
コンビニ,convenience store
トイレ,toilet; restroom
としょかん,library
ゆうびんきょく,post office
ロシア,Russia
台湾,Taiwan
イギリス,Britain
かんこく,Korea
ちゅうごく,China
えいご,English (language)
けいざい,economics
コンピューター,computer
ビジネス,business
れきし,history
おかあさん,mother
おとうさん,father
いくら,how much
〜えん,...yen
たかい,expensive; high
いらっしゃいませ,Welcome (to our store).
（〜を）おねがいします,please.
（〜を）ください,Please give me...
じゃあ,then...; if that is the case
どうぞ,Please.; Here it is.
どうも,Thank you.
